hex_id,F1,F2,F3,F4,F5,class_km
8808b49203fffff,-0.48352442248492755,-0.08190270982195556,-0.2196681600874984,-0.4371856831482461,-0.6965404914830224,2
8808b49209fffff,-0.21750280491616103,0.08181905170893737,-0.379532368540217,-0.3941278048058564,-0.9025836087038989,2
8808b4920bfffff,-0.41981077122602933,0.006072102975904367,-0.2199286057047869,-0.4332394918993407,-0.7447279564837621,2
8808b49215fffff,-0.40151559830205724,-0.1716252267167051,-0.18453235027880532,-0.4254894817029678,-0.7306416379269409,2
8808b49219fffff,-0.34576963523321225,-0.1912302028391677,-0.1847419331034109,-0.5762653861907798,-0.7128181393881391,2
8808b4921bfffff,-0.22593603760049846,-0.16818878461683764,-0.30409805726008426,-0.5405568893877227,-0.8975770409943092,2
8808b4921dfffff,-0.39222992658859446,-0.18409093885235214,-0.13095896769436127,-0.43137247262383777,-0.7219355429242733,2
8808b49241fffff,-0.18732753337779234,0.24639992750930273,-0.38886384183790224,-0.33100049438098544,-0.9545690799937404,2
8808b49243fffff,-0.11856176306970395,0.18149123168854525,-0.4168757325823125,-0.46744925906507473,-0.950878558734614,2
8808b49245fffff,-0.29863840941594444,0.21811641970657453,-0.262027671325583,-0.3050524330623207,-0.8143486224479608,2
8808b49247fffff,-0.27852442379449577,0.2529297290736246,-0.3036442001841285,-0.2714439127366832,-0.9544570051750739,2
8808b49249fffff,-0.12814302795428295,0.41951533573821004,-0.1810749986023886,-0.45321204896184053,-0.7879699290811788,2
8808b4924bfffff,-0.13351461714386842,0.26152284676047954,-0.4313885646333181,-0.4866559699296153,-0.9501771197540251,2
8808b4924dfffff,-0.15808898327941256,0.6141338315527722,-0.05789596309449019,-0.7071444123263637,-0.9829148943201717,2
8808b49251fffff,-0.315291517489104,0.07598185181023998,-0.29638977416495865,-0.5011852562377793,-0.7162409878712519,2
8808b49253fffff,-0.4222162509674692,-0.03389245622102361,-0.23786793049895855,-0.42983001907483825,-0.7663935404461584,2
8808b49255fffff,-0.2531739234778159,0.0763624012067037,-0.3534965923123361,-0.41210613666621726,-0.8889312027802336,2
8808b49257fffff,-0.3874967553452492,-0.004074605473810333,-0.30486558025036564,-0.39180710552616255,-0.7663827324502717,2
8808b49259fffff,-0.2073535680548937,0.08209855016975423,-0.44823855315173267,-0.42278642069910805,-0.8762168452264095,2
8808b4925bfffff,-0.24749850496651854,0.02470168283739379,-0.40074659634775667,-0.4758642271267111,-0.7464385817158282,2
8808b4925dfffff,-0.18449760453691272,0.22273990114382194,-0.5468681530983177,-0.4132679876421504,-0.8940323057927334,2
8808b4928bfffff,-0.30862131726022396,-0.14065209387730812,-0.34999727019372956,-0.4601629479830617,-0.8009019786341802,2
8808b49291fffff,-0.48717915545866136,0.0481311714096819,-0.22834593119732044,-0.5248004809251482,-0.8429384917148532,2
8808b49299fffff,-0.48034703090573805,0.014327990129307439,-0.2226850047638037,-0.48305751408734676,-0.8037386055529154,2
8808b4929dfffff,-0.4991679269766221,0.008281210855609566,-0.25573208812598075,-0.4426242322058179,-0.8434415217848915,2
8808b492c1fffff,-0.06878833723641792,-0.2630871129569196,-0.3098285284318888,-0.6021293504820051,-0.9909557476254593,2
8808b492c5fffff,-0.27020141562973826,-0.3755705390185035,-0.18709907218620858,-0.41305587880468425,-0.7893971985325345,2
8808b492c7fffff,-0.05376186049475212,-0.24458441558229854,-0.3325517595675825,-0.5953659085305039,-0.996315124623268,2
8808b492c9fffff,-0.17128449587444233,-0.2342016419882915,-0.23532997506057435,-0.4844477024583782,-1.002225457498746,2
8808b492cbfffff,-0.22010327968582172,-0.2598215908083628,-0.337737391900928,-0.34373969641712177,-0.8292357379390979,2
8808b492cdfffff,-0.2043643902629882,-0.2543233087133995,-0.2084771199476999,-0.49556593620070044,-0.9722368110640842,2
8808b492d1fffff,-0.36672243910159047,-0.08701667613006729,-0.3529906327348924,-0.4094683243732141,-0.7736996920656869,2
8808b492d3fffff,-0.5378863353909672,-0.013023857316227794,-0.25136157523367236,-0.3449405311856266,-0.8295211959125419,2
8808b492d5fffff,-0.2581262689499632,-0.1548012421329343,-0.30911491215977144,-0.4948707377588121,-0.8503505849606245,2
8808b492d7fffff,-0.3606930998920588,-0.09031391777710787,-0.29363231180550114,-0.43335839365545736,-0.8131460586243978,2
8808b492d9fffff,-0.26225026659438855,-0.11953823665436944,-0.2921264483070792,-0.4518408694547563,-0.8071510001720772,2
8808b492dbfffff,-0.46399871613337274,0.12766018650318903,-0.29218952216782806,-0.5031654020869253,-0.9163697048467327,2
8808b492ddfffff,-0.24739418789831247,-0.24339699127434306,-0.2658187680482018,-0.44040016991746855,-0.8733016492359639,2
8808b49641fffff,-0.6517209834738129,0.37878560818305035,0.3375751948173395,-0.6788078412476761,-0.893078254205269,2
8808b49643fffff,-0.4546738700508471,0.19330271660841464,0.13228371389893093,-0.6716157132023332,-0.9394748331796992,2
8808b49645fffff,-0.6176442066698857,0.5803543795847173,0.33418219034092944,-0.656781738801272,-1.227556156374054,2
8808b49647fffff,-0.6165946494749577,0.3477439929059782,0.2726949376969809,-0.5983349881895684,-0.8999139612852359,2
8808b49649fffff,-0.5560051632998103,0.5529362675043004,0.2895544402104514,-0.6642646705720989,-1.168261362379735,2
8808b4964dfffff,-0.6851625652801403,0.7951417959209854,0.29298208392929,-0.718388441711075,-1.1449873699024273,2
8808b49659fffff,-0.49256530707864304,0.06553165517758813,0.008891091494987569,-0.6913356437074499,-0.805517489472919,2
8808b4965bfffff,-0.4250646514843493,0.0009328852351563888,-0.10051861476847343,-0.7130135375952441,-0.7564505432126585,2
8808b4966bfffff,-0.8268325610728571,0.629327789084446,0.4069794192713486,-0.5114164952322607,-1.0334879916159885,2
8808b49687fffff,-0.2471458496270788,-0.5740761618318336,-0.3385105960486944,-0.6797644485643052,-0.5276277118870657,5
8808b49693fffff,-0.13915015044730356,-0.858289506992498,-0.3258760733877687,-0.7993359627038745,-0.2963015376863198,5
8808b49697fffff,-0.3494194216220681,-0.6789391759897957,-0.3034644296079928,-0.5732486053269142,-0.5661402654670913,5
8808b4969bfffff,-0.12214137865742997,-0.8703910888882231,-0.34879514566252434,-0.8090936906332592,-0.2646143519717651,5
8808b496a1fffff,-0.2841857220814269,-0.5090573787711495,-0.39069522163948833,-0.5728208237952871,-0.6032987395399576,5
8808b496a3fffff,-0.2482995576975358,-0.4711769843452075,-0.37013487740723094,-0.6551904315415498,-0.5999095897559448,5
8808b496b5fffff,-0.272961854480673,-0.6104036981480713,-0.32549541455778763,-0.6752700763649464,-0.4111101222881935,5
8808b496d3fffff,-0.26226767353232205,-0.8592839565187038,-0.26565590101845715,-0.7803339158914288,-0.03511197105496888,5
8808b496d5fffff,-0.4456959153837204,-0.6024498327952211,-0.253406447386963,-0.5257677874771758,-0.4379427746078966,5
8808b496dbfffff,-0.2522003259681271,-0.864897156772809,-0.30007169124466615,-0.7230401634956586,-0.019810613651382425,5
8808b496ddfffff,-0.38758999740446654,-0.6205970361774019,-0.22614231151729408,-0.6150100077858908,-0.44499199376296567,5
88099a2055fffff,0.3532180777290412,0.2620204362977451,0.05962646302153468,1.2557442328733028,-0.8301582283892267,7
88099a2083fffff,1.0966690290477354,0.4728956976460498,-0.568714625227783,0.735858505428827,-1.2124692211015966,2
88099a2197fffff,0.5194171523298705,0.6809261585547339,0.05677189998852816,1.318256008819599,-0.7452193905157729,7
88099a21b3fffff,0.18090549663500288,0.4551579896033168,0.6937499833289735,1.0129481706780876,-0.5384156277129314,1
88099a21b7fffff,0.32562328925726297,0.06757656816899249,0.4337683017584449,1.3675600960833358,-0.8751991998847239,7
88099a2403fffff,2.7560036369649294,0.9759056068748387,-0.6374206418096192,0.3395402554919582,0.6508186886326925,3
88099a2405fffff,3.9054498158183955,0.20693054959665724,-1.3604902979792892,-0.2790171085232287,-0.005073941361519951,3
88099a2407fffff,3.8441951988752012,0.38678314520105395,-1.326504012770458,-0.08567050380037866,0.330187050323691,3
88099a240bfffff,2.4483989226817098,1.1081786140043703,-0.9785214363708459,0.4946823133726066,0.28451944382237304,3
88099a2411fffff,2.79212279553305,0.3345573194965211,-0.6022598378158457,1.6473175626006635,0.47319576571016797,3
88099a2413fffff,2.5931066571547863,1.24386068186339,-0.4885787178108444,1.1954303528622874,1.200629871911481,3
88099a2415fffff,2.703468595560677,1.209846819336874,-0.6244397337228667,0.31168555437615186,1.0060221733623358,3
88099a2417fffff,2.3803734903585196,1.3963958723608654,2.8363226208747685,0.09324876112305525,1.0326017824199103,1
88099a2419fffff,1.9300690865638637,0.8221579462988923,-0.035900859797496354,1.5560931864532312,0.8147332160366212,3
88099a241bfffff,2.921249880784541,0.41399084467205427,-0.5063546748793649,1.3055205157625012,0.5786035212183291,3
88099a241dfffff,2.4277032163129784,1.280231746413489,-1.1567040689893302,0.3627654756813956,1.1119791025315062,3
88099a2421fffff,5.18804639468878,-0.10302075237432429,-1.7042521380839857,-0.3608399931255022,0.1498515638095841,3
88099a2423fffff,5.20983437756815,0.6719256164209602,-0.11436208802056269,-2.420649819193528,0.6951025774620023,3
88099a2425fffff,5.319011034116665,-1.3446824747475783,-1.795995842740303,0.32648128933474174,0.006911663912456678,3
88099a2427fffff,6.346352394041682,-1.3561744638396487,-0.17173224387387687,-0.6041295825333752,-0.38353569416158884,3
88099a2429fffff,4.172638897278021,0.2613496678634516,-1.835665429787342,-0.2760362714831248,0.40349440035021367,3
88099a242dfffff,4.323175801625252,-0.36899125068150634,-1.5458681702117698,-0.12536607266942879,0.41225315513655236,3
88099a2431fffff,3.4505775404603676,0.6550140899670653,3.6034262060782143,-2.576781684451278,1.7585653334358695,6
88099a2433fffff,1.3630703240038855,-0.8919455252041701,7.584378675283366,-1.2983059026298358,2.948663315724262,6
88099a2435fffff,4.699328627302727,0.4868679078837479,1.270750330440352,-2.713124411125449,2.2613217745539593,3
88099a2437fffff,2.6175901935400736,0.004821303096834484,6.359426613076261,-2.800909689259964,2.5723367665844368,6
88099a2439fffff,3.4170615614169684,0.48697694052457213,1.257519828096453,-1.0681920745173437,1.124478920163795,3
88099a243bfffff,2.648265095035061,-0.6236067657419853,6.571111396458236,-0.7631937973358367,1.7607523889407002,6
88099a243dfffff,4.818207104954639,0.9972913539244596,0.39355947676084213,-2.2184087748256403,0.8245947850658684,3
