variable,F1,F2,F3,F4,F5
mean_b1950_k25,0.287,0.61,0.475,-0.001,-0.083
std_b1950_k25,0.219,0.679,0.267,-0.091,-0.12
mean_b1950_k50,0.377,0.562,0.325,0.042,-0.12
std_b1950_k50,0.282,0.59,0.149,-0.066,-0.102
mean_b1950_k100,0.315,0.578,0.163,0.135,-0.211
std_b1950_k100,0.216,0.519,0.018,0.021,-0.148
mean_b1940_k5,0.103,0.238,0.649,0.182,0.093
std_b1940_k5,0.144,0.2,0.326,0.146,0.03
mean_b1940_k10,0.253,0.305,0.688,0.19,0.124
std_b1940_k10,0.28,0.289,0.426,0.203,0.095
mean_b1940_k25,0.653,0.378,0.373,0.273,0.184
std_b1940_k25,0.707,0.261,0.198,0.251,0.248
mean_b1940_k50,0.548,0.478,0.192,0.51,0.242
std_b1940_k50,0.697,0.296,0.131,0.406,0.31
mean_b1940_k100,0.381,0.52,0.119,0.615,0.287
std_b1940_k100,0.419,0.491,0.088,0.541,0.333
mean_b1990_k5,-0.079,0.035,0.361,0.091,0.452
std_b1990_k5,-0.022,0.117,0.246,0.014,0.384
mean_b1990_k10,-0.074,0.143,0.38,0.062,0.54
std_b1990_k10,-0.013,0.221,0.266,-0.031,0.44
mean_b1990_k25,0.041,0.213,0.335,0.039,0.658
std_b1990_k25,0.068,0.214,0.139,0.004,0.565
mean_b1990_k50,0.399,0.146,0.219,-0.06,0.705
std_b1990_k50,0.246,0.014,0.052,-0.101,0.691
mean_b1990_k100,0.352,0.088,-0.037,-0.004,0.804
std_b1990_k100,0.334,-0.048,-0.096,-0.062,0.801
mean_b2010_k5,0.264,0.092,0.367,0.329,-0.041
std_b2010_k5,0.168,0.106,0.173,0.284,-0.07
mean_b2010_k10,0.294,0.099,0.456,0.343,-0.061
std_b2010_k10,0.233,0.134,0.372,0.298,-0.081
mean_b2010_k25,0.333,0.258,0.445,0.371,0.013
std_b2010_k25,0.296,0.374,0.332,0.336,0.019
mean_b2010_k50,0.363,0.312,0.326,0.317,-0.061
std_b2010_k50,0.33,0.437,0.245,0.307,-0.038
mean_b2010_k100,0.383,0.296,0.234,0.22,-0.135
std_b2010_k100,0.292,0.313,0.145,0.163,-0.129
mean_b1800_k5,0.6,0.223,0.076,0.278,0.483
std_b1800_k5,0.098,0.223,-0.155,0.479,0.374
mean_b1800_k10,0.202,-0.131,-0.053,0.296,0.782
std_b1800_k10,-0.081,-0.28,-0.113,0.149,0.715
mean_b1800_k25,0.062,-0.238,-0.018,0.153,0.734
std_b1800_k25,-0.145,0.017,0.097,0.074,-0.053
